iter	Logloss
0	0.5172947301
1	0.4600741305
2	0.4222150153
3	0.4190716795
4	0.3948791387
5	0.3856405517
6	0.3832159401
7	0.3734157585
8	0.3690098659
9	0.3575514929
10	0.3481886051
11	0.3460067341
12	0.3360337693
13	0.3302708321
14	0.3195245064
15	0.3143061122
16	0.3088064712
17	0.2967194935
18	0.2944279013
19	0.2855812392
20	0.282629899
21	0.2794549404
22	0.2704764473
23	0.2630770849
24	0.2571474928
25	0.253405709
26	0.2484322097
27	0.2455428979
28	0.2393530576
29	0.2379931545
30	0.2345025948
31	0.2301204408
32	0.2244896282
33	0.2221649127
34	0.2179797473
35	0.2137564679
36	0.2074573717
37	0.2034829553
38	0.1989000192
39	0.1968155278
40	0.1944426218
41	0.1914421802
42	0.1890693755
43	0.1864165785
44	0.1830051535
45	0.179624702
46	0.1776337136
47	0.1744096816
48	0.1738420624
49	0.171410599
50	0.1683748342
51	0.1665047096
52	0.1627951228
53	0.1609123552
54	0.1583917334
55	0.1567714923
56	0.1545545736
57	0.1520055514
58	0.1478033058
59	0.1469060105
60	0.145844772
61	0.1449017822
62	0.1435889006
63	0.1414765658
64	0.1385015147
65	0.1375430799
66	0.1355396407
67	0.1342489917
68	0.1333183374
69	0.1309189849
70	0.1304319774
71	0.128384785
72	0.1272329335
73	0.1261248938
74	0.1252894267
75	0.1241448931
76	0.1213042766
77	0.120332796
78	0.1183987775
79	0.1159522788
80	0.1146482383
81	0.1136466499
82	0.1131265342
83	0.1115624944
84	0.1104034584
85	0.1099625236
86	0.1084729483
87	0.1072480775
88	0.1069324151
89	0.1066671887
90	0.1064505605
91	0.1061916208
92	0.1056393762
93	0.102045707
94	0.1011557098
95	0.1007472736
96	0.09890659945
97	0.09789810468
98	0.09637716852
99	0.09544047546
100	0.09384223269
101	0.09094787452
102	0.09012567432
103	0.08882057558
104	0.08795427655
105	0.08758637146
106	0.08669578843
107	0.08586250059
108	0.08548879917
109	0.08419999461
110	0.08320942405
111	0.08311139626
112	0.0828968226
113	0.08208153971
114	0.08189404637
115	0.08153852543
116	0.08122887389
117	0.08088691326
118	0.08016164085
119	0.07962449478
120	0.07945935295
121	0.07899301782
122	0.07844336728
123	0.078151435
124	0.07741883945
125	0.0770863514
126	0.07626066428
127	0.07524264674
128	0.0743873185
129	0.07369897294
130	0.07354709928
131	0.07315760541
132	0.0727591098
133	0.07250527834
134	0.07166484725
135	0.07092486721
136	0.07041597485
137	0.07007625294
138	0.06985320992
139	0.06954772217
140	0.06944878399
141	0.06805900285
142	0.06768039774
143	0.06762422982
144	0.06738587141
145	0.06735137138
146	0.06709019767
147	0.06653321455
148	0.06639187755
149	0.06636084422
150	0.06634549041
151	0.06619086717
152	0.06607776594
153	0.06550880833
154	0.06518748444
155	0.06498823272
156	0.06454822617
157	0.0643638615
158	0.06413456544
159	0.0639176765
160	0.06379568671
161	0.06363797279
162	0.06332080623
163	0.06317196481
164	0.06301969714
165	0.06272981231
166	0.06190236448
167	0.06174506367
168	0.06157522939
169	0.06118336857
170	0.06042533907
171	0.05983152665
172	0.05975169318
173	0.05931337121
174	0.05917424808
175	0.05888746329
176	0.05883646697
177	0.05850719117
178	0.05823696885
179	0.0580871823
180	0.05801050002
181	0.05756836671
182	0.0575186345
183	0.05742975154
184	0.05729716032
185	0.0572172793
186	0.05700753551
187	0.05664712286
188	0.05652882746
189	0.05635868947
190	0.05627217649
191	0.05578790183
192	0.0554094188
193	0.05528721707
194	0.0551183704
195	0.05476826307
196	0.05472129581
197	0.05420032427
198	0.0538293402
199	0.05358122264
200	0.05331770669
201	0.05312572728
202	0.0527719249
203	0.05272479371
204	0.05250369037
205	0.05218224883
206	0.05208286641
207	0.05194035107
208	0.05174516775
209	0.05165960195
210	0.05153983812
211	0.0514436022
212	0.05128576699
213	0.05128564572
214	0.05120526989
215	0.05109056598
216	0.05084480414
217	0.05053702635
218	0.05045442526
219	0.050082145
220	0.05003268864
221	0.04980568432
222	0.04942777086
223	0.0492479985
224	0.04911023225
225	0.0485779798
226	0.04830411564
227	0.04799549591
228	0.04783427925
229	0.04760779213
230	0.0472998671
231	0.04723184028
232	0.04702664211
233	0.04664667901
234	0.04654736765
235	0.04616940629
236	0.04597753223
237	0.04575792968
238	0.04544171814
239	0.04531921399
240	0.04512528218
241	0.04497877883
242	0.04485245686
243	0.04477530478
244	0.04463598821
245	0.04447612431
246	0.04435448595
247	0.04423503701
248	0.04416452027
249	0.0440773117
250	0.04403499177
251	0.04403483766
252	0.04402170225
253	0.04396032063
254	0.04395879773
255	0.04387949531
256	0.04364089657
257	0.04328546963
258	0.04317076502
259	0.04302301297
260	0.042765997
261	0.0426115826
262	0.04252218644
263	0.04232501719
264	0.04206150017
265	0.04205754141
266	0.0420466664
267	0.04192276072
268	0.04184276571
269	0.04184274517
270	0.04183661186
271	0.04183634506
272	0.04183195311
273	0.04182351774
274	0.04181508308
275	0.04181496463
276	0.0418023418
277	0.04180158586
278	0.04180151003
279	0.04175495686
280	0.04169444464
281	0.04163708486
282	0.04143747698
283	0.0412904771
284	0.04121459941
285	0.04117275177
286	0.04093073827
287	0.04086587989
288	0.04077523288
289	0.04060391898
290	0.040410077
291	0.04037684853
292	0.040354183
293	0.04035401461
294	0.0403539868
295	0.04034569435
296	0.04034539729
297	0.04034536757
298	0.04025133061
299	0.04015977785
300	0.0400720503
301	0.03986999464
302	0.03966337115
303	0.03943917503
304	0.03935810628
305	0.03935771306
306	0.03922742718
307	0.03917424316
308	0.03899515027
309	0.0389405716
310	0.03885983617
311	0.0386935145
312	0.03864182769
313	0.03856576406
314	0.03848484166
315	0.03843997546
316	0.03824128595
317	0.03824111907
318	0.03820288597
319	0.03820244012
320	0.03812281014
321	0.03809328226
322	0.03801440251
323	0.03796300841
324	0.03782721832
325	0.03768497724
326	0.0376189505
327	0.03759077578
328	0.03755845952
329	0.03749310318
330	0.03728855708
331	0.03714628876
332	0.03714627884
333	0.03709087838
334	0.0369478219
335	0.03689044795
336	0.03672372616
337	0.03657753141
338	0.03651650418
339	0.03645672418
340	0.03640163772
341	0.03633637476
342	0.03624214294
343	0.03614050389
344	0.03611620274
345	0.03609522821
346	0.03592723612
347	0.0358196161
348	0.03579343822
349	0.03565049152
350	0.03538540619
351	0.03535550649
352	0.03530258404
353	0.0353024452
354	0.03529983862
355	0.03529944457
356	0.03528051676
357	0.03528044942
358	0.03527919162
359	0.03527915893
360	0.03527800509
361	0.03527464247
362	0.03527452132
363	0.03527347606
364	0.0352685998
365	0.03514687691
366	0.03509825591
367	0.03508729766
368	0.03500563237
369	0.03497599774
370	0.0349472263
371	0.03491746077
372	0.03480707539
373	0.03478686893
374	0.0347135317
375	0.03471222341
376	0.0347122022
377	0.03471128593
378	0.03467729383
379	0.03467558088
380	0.03467489335
381	0.03467480008
382	0.03467374645
383	0.03460010198
384	0.03454503502
385	0.03454495537
386	0.03452377443
387	0.03449378567
388	0.03438210372
389	0.0343464839
390	0.03432854313
391	0.03432822532
392	0.03431302949
393	0.03431136452
394	0.0343013768
395	0.0341833833
396	0.03415524593
397	0.03415471842
398	0.03405190398
399	0.03395354539
400	0.03392377172
401	0.03386659976
402	0.03384068684
403	0.0338386837
404	0.03383860378
405	0.0338384002
406	0.0338367231
407	0.03383263639
408	0.03383247616
409	0.03380442113
410	0.03372087601
411	0.03372000367
412	0.03371989228
413	0.03371982995
414	0.03371958276
415	0.03371956071
416	0.03369988324
417	0.03369880664
418	0.03369852033
419	0.03369844578
420	0.03369837949
421	0.03369751699
422	0.03369719617
423	0.03369687278
424	0.03369650514
425	0.03369649881
426	0.03369643959
427	0.03369612776
428	0.0336958539
429	0.03369455283
430	0.03366413833
431	0.03364037674
432	0.03361765199
433	0.03354661114
434	0.03354605995
435	0.03354579813
436	0.03354391212
437	0.03354380989
438	0.03354370895
439	0.03354222225
440	0.0335409863
441	0.03353855933
442	0.03353853394
443	0.03353850862
444	0.03353634641
445	0.03353631594
446	0.03353627845
447	0.03353591907
448	0.03353087983
449	0.03353072765
450	0.03353024509
451	0.03351020596
452	0.03349479641
453	0.03344595029
454	0.03341532929
455	0.03335981044
456	0.03332175555
457	0.03330901337
458	0.03330873391
459	0.03329606351
460	0.03329518357
461	0.03329457263
462	0.03328290163
463	0.03328243204
464	0.03328241215
465	0.03328240594
466	0.03325529027
467	0.03322949443
468	0.03322634798
469	0.03322559424
470	0.03322558191
471	0.03321749562
472	0.03320861059
473	0.03320856291
474	0.03320854312
475	0.03320838511
